"Jahr","Stadtquartier (historisch) (Code)","Stadtquartier (historisch) (Num)","Stadtquartier (historisch) (Name)","Kontinet BfS","Kontinent BfS (Sort)","Region BfS","Region BfS (Sort)","Land Heimat aktuell (Code)","Land Heimat aktuell (Name)","Land Heimat aktuell (Sort)","Land Heimat historisch (Code)","Land Heimat historisch (Name)","Land Heimat historisch (Sort)","wirtschaftliche Bevölkerung"
"2008","011","11","Rathaus","Amerika","3","Südliches Südamerika","36","8407","Chile","133","8407","Chile","140","3"
"2008","011","11","Rathaus","Amerika","3","Zentralamerika","33","8415","Guatemala","141","8415","Guatemala","148","1"
"2008","011","11","Rathaus","Amerika","3","Zentralamerika","33","8427","Mexico","152","8427","Mexico","159","2"
"2008","011","11","Rathaus","Asien","4","Ostasien","42","8507","Chinesisches Taipei","187","8507","Chinesisches Taipei","194","1"
"2008","011","11","Rathaus","Asien","4","Ostasien","42","8508","China (Volksrepublik China)","188","8508","China (Volksrepublik China)","195","3"
"2008","011","11","Rathaus","Asien","4","Ostasien","42","8515","Japan","194","8515","Japan","202","5"
"2008","011","11","Rathaus","Asien","4","Ostasien","42","8539","Republik Korea","216","8539","Republik Korea","225","1"
"2008","011","11","Rathaus","Asien","4","Südasien","46","8506","Sri Lanka","186","8506","Sri Lanka","193","3"
"2008","011","11","Rathaus","Asien","4","Südasien","46","8510","Indien","189","8510","Indien","197","6"
"2008","011","11","Rathaus","Asien","4","Südasien","46","8533","Pakistan","211","8533","Pakistan","220","1"
"2008","011","11","Rathaus","Asien","4","Südasien","46","8546","Bangla Desh","221","8546","Bangla Desh","232","5"
"2008","011","11","Rathaus","Asien","4","Südostasien","47","8511","Indonesien","190","8511","Indonesien","198","5"
"2008","011","11","Rathaus","Asien","4","Südostasien","47","8522","Laos","201","8522","Laos","209","1"
"2008","011","11","Rathaus","Asien","4","Südostasien","47","8525","Malaysia","204","8525","Malaysia","212","1"
"2008","011","11","Rathaus","Asien","4","Südostasien","47","8534","Philippinen","212","8534","Philippinen","221","2"
"2008","011","11","Rathaus","Asien","4","Südostasien","47","8537","Singapur","214","8537","Singapur","223","2"
"2008","011","11","Rathaus","Asien","4","Südostasien","47","8542","Thailand","218","8542","Thailand","228","9"
"2008","011","11","Rathaus","Asien","4","Südwestasien","45","8560","Armenien","224","8560","Armenien","235","1"
"2008","011","11","Rathaus","Asien","4","Westasien","44","8512","Irak","191","8512","Irak","199","5"
"2008","011","11","Rathaus","Asien","4","Westasien","44","8513","Iran","192","8513","Iran","200","1"
"2008","011","11","Rathaus","Asien","4","Westasien","44","8514","Israel","193","8514","Israel","201","5"
"2008","011","11","Rathaus","Asien","4","Zentralasien","43","8567","Usbekistan","231","8567","Usbekistan","242","1"
"2008","011","11","Rathaus","Europa","1","Nordeuropa","11","8206","Dänemark","7","8206","Dänemark","6","8"
"2008","011","11","Rathaus","Europa","1","Nordeuropa","11","8211","Finnland","10","8211","Finnland","12","3"
"2008","011","11","Rathaus","Europa","1","Nordeuropa","11","8228","Norwegen","26","8228","Norwegen","29","4"
"2008","011","11","Rathaus","Europa","1","Nordeuropa","11","8234","Schweden","32","8234","Schweden","35","12"
"2008","011","11","Rathaus","Europa","1","Osteuropa","12","8260","Estland","49","8260","Estland","55","1"
"2008","011","11","Rathaus","Europa","1","Osteuropa","12","8262","Litauen","51","8262","Litauen","57","3"
"2008","011","11","Rathaus","Europa","1","Osteuropa","12","8264","Russland","53","8264","Russland","59","18"
"2008","011","11","Rathaus","Europa","1","Osteuropa","12","8265","Ukraine","54","8265","Ukraine","60","21"
"2008","011","11","Rathaus","Europa","1","Osteuropa","12","8266","Belarus","55","8266","Belarus","62","6"
"2008","011","11","Rathaus","Europa","1","Südeuropa","16","8214","Griechenland","13","8214","Griechenland","15","9"
"2008","011","11","Rathaus","Europa","1","Südeuropa","16","8218","Italien","17","8218","Italien","19","68"
"2008","011","11","Rathaus","Europa","1","Südeuropa","16","8239","Türkei","37","8239","Türkei","40","15"
"2008","011","11","Rathaus","Europa","1","Südosteuropa","17","8205","Bulgarien","6","8205","Bulgarien","5","4"
"2008","011","11","Rathaus","Europa","1","Südosteuropa","17","8232","Rumänien","30","8232","Rumänien","33","2"
"2008","011","11","Rathaus","Europa","1","Südosteuropa","17","8250","Kroatien","43","8250","Kroatien","46","3"
"2008","011","11","Rathaus","Europa","1","Südosteuropa","17","8251","Slowenien","44","8251","Slowenien","47","1"
"2008","011","11","Rathaus","Europa","1","Südosteuropa","17","8252","Bosnien-Herzegowina","45","8252","Bosnien-Herzegowina","48","4"
"2008","011","11","Rathaus","Europa","1","Südosteuropa","17","8255","Mazedonien","46","8255","Mazedonien","51","1"
"2008","011","11","Rathaus","Europa","1","Südosteuropa","17","8259","Serbien und Montenegro; Kosovo","48","8256","Kosovo","52","1"
"2008","011","11","Rathaus","Europa","1","Südosteuropa","17","8259","Serbien und Montenegro; Kosovo","48","8259","Serbien und Montenegro","54","4"
"2008","011","11","Rathaus","Europa","1","Südwesteuropa","15","8231","Portugal","29","8231","Portugal","32","14"
"2008","011","11","Rathaus","Europa","1","Südwesteuropa","15","8236","Spanien","34","8236","Spanien","37","21"
"2008","011","11","Rathaus","Europa","1","Westeuropa","14","8204","Belgien","5","8204","Belgien","4","4"
"2008","011","11","Rathaus","Europa","1","Westeuropa","14","8212","Frankreich","11","8212","Frankreich","13","30"
"2008","011","11","Rathaus","Europa","1","Westeuropa","14","8215","Grossbritannien","14","8215","Grossbritannien","16","40"
"2008","011","11","Rathaus","Europa","1","Westeuropa","14","8216","Irland","15","8216","Irland","17","4"
"2008","011","11","Rathaus","Europa","1","Westeuropa","14","8223","Luxemburg","21","8223","Luxemburg","24","1"
"2008","011","11","Rathaus","Europa","1","Westeuropa","14","8227","Niederlande","25","8227","Niederlande","28","12"
"2008","011","11","Rathaus","Europa","1","Zentraleuropa","13","1000","Schweiz","2","1000","Schweiz","1","2217"
"2008","011","11","Rathaus","Europa","1","Zentraleuropa","13","8207","Deutschland","8","8207","Deutschland","8","283"
"2008","011","11","Rathaus","Europa","1","Zentraleuropa","13","8222","Liechtenstein","20","8222","Liechtenstein","23","2"
"2008","011","11","Rathaus","Europa","1","Zentraleuropa","13","8229","Österreich","27","8229","Österreich","30","41"
"2008","011","11","Rathaus","Europa","1","Zentraleuropa","13","8230","Polen","28","8230","Polen","31","2"
"2008","011","11","Rathaus","Europa","1","Zentraleuropa","13","8240","Ungarn","38","8240","Ungarn","41","4"
"2008","011","11","Rathaus","Europa","1","Zentraleuropa","13","8243","Slowakische Republik","41","8243","Slowakische Republik","44","3"
"2008","011","11","Rathaus","Europa","1","Zentraleuropa","13","8244","Tschechische Republik","42","8244","Tschechische Republik","45","4"
"2008","011","11","Rathaus","Ozeanien","5","Südliches Ozeanien","56","8601","Australien","233","8601","Australien","244","6"
"2008","011","11","Rathaus","Ozeanien","5","Südliches Ozeanien","56","8607","Neuseeland","238","8607","Neuseeland","249","1"
"2008","012","12","Hochschulen","Afrika","2","Nordafrika","21","8357","Tunesien","112","8357","Tunesien","119","1"
"2008","012","12","Hochschulen","Afrika","2","Zentralafrika","23","8323","Dem. Republik Kongo","80","8323","Dem. Republik Kongo","87","1"
"2008","012","12","Hochschulen","Amerika","3","Karibik","32","8425","Kuba","150","8425","Kuba","157","1"
"2008","012","12","Hochschulen","Amerika","3","Mittleres Südamerika","35","8406","Brasilien","132","8406","Brasilien","139","5"
"2008","012","12","Hochschulen","Amerika","3","Nordamerika","31","8423","Kanada","148","8423","Kanada","155","2"
"2008","012","12","Hochschulen","Amerika","3","Nordamerika","31","8439","USA","163","8439","USA","170","7"
"2008","012","12","Hochschulen","Amerika","3","Nördliches Südamerika","34","8424","Kolumbien","149","8424","Kolumbien","156","1"
"2008","012","12","Hochschulen","Amerika","3","Südliches Südamerika","36","8401","Argentinien","127","8401","Argentinien","134","1"
"2008","012","12","Hochschulen","Asien","4","Ostasien","42","8515","Japan","194","8515","Japan","202","3"
"2008","012","12","Hochschulen","Asien","4","Südasien","46","8501","Afghanistan","181","8501","Afghanistan","188","2"
"2008","012","12","Hochschulen","Asien","4","Südasien","46","8506","Sri Lanka","186","8506","Sri Lanka","193","4"
"2008","012","12","Hochschulen","Asien","4","Südasien","46","8510","Indien","189","8510","Indien","197","4"
"2008","012","12","Hochschulen","Asien","4","Südasien","46","8546","Bangla Desh","221","8546","Bangla Desh","232","1"
"2008","012","12","Hochschulen","Asien","4","Südostasien","47","8542","Thailand","218","8542","Thailand","228","1"
"2008","012","12","Hochschulen","Asien","4","Südostasien","47","8545","Vietnam","220","8545","Vietnam","231","1"
"2008","012","12","Hochschulen","Asien","4","Westasien","44","8512","Irak","191","8512","Irak","199","7"
"2008","012","12","Hochschulen","Asien","4","Westasien","44","8513","Iran","192","8513","Iran","200","1"
"2008","012","12","Hochschulen","Europa","1","Nordeuropa","11","8206","Dänemark","7","8206","Dänemark","6","1"
"2008","012","12","Hochschulen","Europa","1","Nordeuropa","11","8211","Finnland","10","8211","Finnland","12","1"
"2008","012","12","Hochschulen","Europa","1","Nordeuropa","11","8228","Norwegen","26","8228","Norwegen","29","2"
"2008","012","12","Hochschulen","Europa","1","Nordeuropa","11","8234","Schweden","32","8234","Schweden","35","2"
"2008","012","12","Hochschulen","Europa","1","Osteuropa","12","8262","Litauen","51","8262","Litauen","57","1"
"2008","012","12","Hochschulen","Europa","1","Osteuropa","12","8264","Russland","53","8264","Russland","59","2"
"2008","012","12","Hochschulen","Europa","1","Südeuropa","16","8218","Italien","17","8218","Italien","19","14"
"2008","012","12","Hochschulen","Europa","1","Südeuropa","16","8239","Türkei","37","8239","Türkei","40","2"
"2008","012","12","Hochschulen","Europa","1","Südeuropa","16","8242","Zypern","40","8242","Zypern","43","2"
"2008","012","12","Hochschulen","Europa","1","Südosteuropa","17","8205","Bulgarien","6","8205","Bulgarien","5","1"
"2008","012","12","Hochschulen","Europa","1","Südosteuropa","17","8252","Bosnien-Herzegowina","45","8252","Bosnien-Herzegowina","48","1"
"2008","012","12","Hochschulen","Europa","1","Südosteuropa","17","8259","Serbien und Montenegro; Kosovo","48","8248","Serbien","49","3"
"2008","012","12","Hochschulen","Europa","1","Südosteuropa","17","8259","Serbien und Montenegro; Kosovo","48","8259","Serbien und Montenegro","54","3"
"2008","012","12","Hochschulen","Europa","1","Südwesteuropa","15","8231","Portugal","29","8231","Portugal","32","14"
"2008","012","12","Hochschulen","Europa","1","Südwesteuropa","15","8236","Spanien","34","8236","Spanien","37","7"
"2008","012","12","Hochschulen","Europa","1","Westeuropa","14","8204","Belgien","5","8204","Belgien","4","1"
"2008","012","12","Hochschulen","Europa","1","Westeuropa","14","8212","Frankreich","11","8212","Frankreich","13","6"
"2008","012","12","Hochschulen","Europa","1","Westeuropa","14","8215","Grossbritannien","14","8215","Grossbritannien","16","11"
"2008","012","12","Hochschulen","Europa","1","Westeuropa","14","8223","Luxemburg","21","8223","Luxemburg","24","1"
"2008","012","12","Hochschulen","Europa","1","Westeuropa","14","8227","Niederlande","25","8227","Niederlande","28","3"
"2008","012","12","Hochschulen","Europa","1","Zentraleuropa","13","1000","Schweiz","2","1000","Schweiz","1","492"
"2008","012","12","Hochschulen","Europa","1","Zentraleuropa","13","8207","Deutschland","8","8207","Deutschland","8","55"
"2008","012","12","Hochschulen","Europa","1","Zentraleuropa","13","8222","Liechtenstein","20","8222","Liechtenstein","23","1"
"2008","012","12","Hochschulen","Europa","1","Zentraleuropa","13","8229","Österreich","27","8229","Österreich","30","23"
"2008","012","12","Hochschulen","Europa","1","Zentraleuropa","13","8230","Polen","28","8230","Polen","31","1"
"2008","012","12","Hochschulen","Europa","1","Zentraleuropa","13","8240","Ungarn","38","8240","Ungarn","41","2"
"2008","012","12","Hochschulen","Europa","1","Zentraleuropa","13","8243","Slowakische Republik","41","8243","Slowakische Republik","44","2"
"2008","012","12","Hochschulen","Europa","1","Zentraleuropa","13","8244","Tschechische Republik","42","8244","Tschechische Republik","45","2"
"2008","012","12","Hochschulen","Ozeanien","5","Südliches Ozeanien","56","8607","Neuseeland","238","8607","Neuseeland","249","2"
"2008","012","12","Hochschulen","Unbekannt","9","Unbekannt","99","8995","Staat unbekannt","275","8995","Unbekannt","288","1"
