"Jahr","Stadtquartier (historisch) (Code)","Stadtquartier (historisch) (Num)","Stadtquartier (historisch) (Name)","Kontinet BfS","Kontinent BfS (Sort)","Region BfS","Region BfS (Sort)","Land Heimat aktuell (Code)","Land Heimat aktuell (Name)","Land Heimat aktuell (Sort)","Land Heimat historisch (Code)","Land Heimat historisch (Name)","Land Heimat historisch (Sort)","wirtschaftliche Bevölkerung"
"2012","013","13","Lindenhof","Asien","4","Ostasien","42","8508","China (Volksrepublik China)","188","8508","China (Volksrepublik China)","195","2"
"2012","013","13","Lindenhof","Asien","4","Ostasien","42","8508","China (Volksrepublik China)","188","8543","Tibet","229","0"
"2012","013","13","Lindenhof","Asien","4","Ostasien","42","8515","Japan","194","8515","Japan","202","9"
"2012","013","13","Lindenhof","Asien","4","Südostasien","47","8525","Malaysia","204","8525","Malaysia","212","1"
"2012","013","13","Lindenhof","Asien","4","Südostasien","47","8542","Thailand","218","8542","Thailand","228","1"
"2012","013","13","Lindenhof","Asien","4","Südostasien","47","8545","Vietnam","220","8545","Vietnam","231","0"
"2012","013","13","Lindenhof","Asien","4","Westasien","44","8512","Irak","191","8512","Irak","199","2"
"2012","013","13","Lindenhof","Asien","4","Westasien","44","8513","Iran","192","8513","Iran","200","0"
"2012","013","13","Lindenhof","Asien","4","Westasien","44","8514","Israel","193","8514","Israel","201","6"
"2012","013","13","Lindenhof","Asien","4","Westasien","44","8523","Libanon","202","8523","Libanon","210","0"
